2025-05-14 19:40:14,195 INFO: Emitted: {'UserID': 10141, 'MACAddress': 'E7:97:FB:4C:75:34', 'UserRole': 'Admin', 'OperationType': 'Read', 'DeviceType': 'Laptop', 'Browser': 'Edge', 'IPAddress': '10.83.220.141', 'VPN_Used': False, 'ISP': 'CompanyISP', 'AccessChannel': 'InternalNetwork', 'TypingSpeed': 36.0, 'AvgKeyHoldTime': 137.93, 'AvgFlightTime': 61.69, 'PatternMatchScore': 0.83, 'KeystrokeDynamicStatus': 'Fail', 'Keystroke_Score': 0.2, 'LoginTimeDeviation': 0.84, 'LoginTimestamp': '2025-05-14 09:47:00', 'LogoutTimestamp': '2025-05-14 10:55:00', 'SessionDuration': 68, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.1, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Deny', 'SessionLocation': 'Sydney'}
2025-05-14 19:42:28,401 INFO: Emitted: {'UserID': 10141, 'MACAddress': 'E7:97:FB:4C:75:34', 'UserRole': 'Guest', 'OperationType': 'Read', 'DeviceType': 'Tablet', 'Browser': 'Chrome', 'IPAddress': '10.71.123.229', 'VPN_Used': False, 'ISP': 'CompanyISP', 'AccessChannel': 'InternalNetwork', 'TypingSpeed': 73.54, 'AvgKeyHoldTime': 89.55, 'AvgFlightTime': 50.76, 'PatternMatchScore': 1.0, 'KeystrokeDynamicStatus': 'Pass', 'Keystroke_Score': 0, 'LoginTimeDeviation': 0.28, 'LoginTimestamp': '2025-05-14 07:41:00', 'LogoutTimestamp': '2025-05-14 09:21:00', 'SessionDuration': 100, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.0, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Allow', 'SessionLocation': 'Sydney'}
2025-05-14 19:42:40,541 INFO: Emitted: {'UserID': 10141, 'MACAddress': 'E7:97:FB:4C:75:34', 'UserRole': 'Admin', 'OperationType': 'Share', 'DeviceType': 'Laptop', 'Browser': 'Firefox', 'IPAddress': '10.102.7.135', 'VPN_Used': False, 'ISP': 'CompanyISP', 'AccessChannel': 'InternalNetwork', 'TypingSpeed': 61.09, 'AvgKeyHoldTime': 126.25, 'AvgFlightTime': 78.3, 'PatternMatchScore': 1.2, 'KeystrokeDynamicStatus': 'Fail', 'Keystroke_Score': 0.2, 'LoginTimeDeviation': 0.29, 'LoginTimestamp': '2025-05-14 08:35:00', 'LogoutTimestamp': '2025-05-14 08:56:00', 'SessionDuration': 21, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.1, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Deny', 'SessionLocation': 'Sydney'}
2025-05-14 19:42:52,615 INFO: Emitted: {'UserID': 10141, 'MACAddress': 'E7:97:FB:4C:75:34', 'UserRole': 'Finance', 'OperationType': 'Read', 'DeviceType': 'Tablet', 'Browser': 'Edge', 'IPAddress': '10.113.221.151', 'VPN_Used': False, 'ISP': 'CompanyISP', 'AccessChannel': 'InternalNetwork', 'TypingSpeed': 51.81, 'AvgKeyHoldTime': 82.44, 'AvgFlightTime': 109.06, 'PatternMatchScore': 0.82, 'KeystrokeDynamicStatus': 'Pass', 'Keystroke_Score': 0, 'LoginTimeDeviation': 0.89, 'LoginTimestamp': '2025-05-14 07:30:00', 'LogoutTimestamp': '2025-05-14 08:53:00', 'SessionDuration': 83, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.0, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Allow', 'SessionLocation': 'Sydney'}
2025-05-14 19:43:04,733 INFO: Emitted: {'UserID': 10141, 'MACAddress': 'E7:97:FB:4C:75:34', 'UserRole': 'Developer', 'OperationType': 'Delete', 'DeviceType': 'Laptop', 'Browser': 'Firefox', 'IPAddress': '10.3.83.8', 'VPN_Used': False, 'ISP': 'CompanyISP', 'AccessChannel': 'InternalNetwork', 'TypingSpeed': 63.48, 'AvgKeyHoldTime': 142.61, 'AvgFlightTime': 94.28, 'PatternMatchScore': 0.9, 'KeystrokeDynamicStatus': 'Pass', 'Keystroke_Score': 0, 'LoginTimeDeviation': 0.81, 'LoginTimestamp': '2025-05-14 09:29:00', 'LogoutTimestamp': '2025-05-14 10:50:00', 'SessionDuration': 81, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.0, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Deny', 'SessionLocation': 'Sydney'}
2025-05-14 19:43:16,834 INFO: Emitted: {'UserID': 10141, 'MACAddress': '3C:15:C2:C2:6D:CA', 'UserRole': 'Developer', 'OperationType': 'Share', 'DeviceType': 'Desktop', 'Browser': 'Chrome', 'IPAddress': '172.16.162.199', 'VPN_Used': True, 'ISP': 'CompanyISP', 'AccessChannel': 'InternalNetwork', 'TypingSpeed': 66.6, 'AvgKeyHoldTime': 87.56, 'AvgFlightTime': 63.45, 'PatternMatchScore': 0.9, 'KeystrokeDynamicStatus': 'Pass', 'Keystroke_Score': 0, 'LoginTimeDeviation': 0.82, 'LoginTimestamp': '2025-05-13 21:12:14', 'LogoutTimestamp': '2025-05-13 21:55:14', 'SessionDuration': 43, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.0, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Allow', 'SessionLocation': 'Sydney'}
2025-05-14 19:43:29,881 INFO: Emitted: {'UserID': 10141, 'MACAddress': 'BC:F3:DD:E5:B7:EB', 'UserRole': 'Admin', 'OperationType': 'Delete', 'DeviceType': 'Desktop', 'Browser': 'Firefox', 'IPAddress': '192.189.228.38', 'VPN_Used': False, 'ISP': 'BT', 'AccessChannel': 'ExternalNetwork', 'TypingSpeed': 52.39, 'AvgKeyHoldTime': 127.56, 'AvgFlightTime': 144.0, 'PatternMatchScore': 0.64, 'KeystrokeDynamicStatus': 'Fail', 'Keystroke_Score': 0.2, 'LoginTimeDeviation': 0.79, 'LoginTimestamp': '2025-05-14 00:44:26', 'LogoutTimestamp': '2025-05-14 01:28:26', 'SessionDuration': 44, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.1, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Deny', 'SessionLocation': 'Sydney'}
2025-05-14 19:43:42,029 INFO: Emitted: {'UserID': 10141, 'MACAddress': 'E7:97:FB:4C:75:34', 'UserRole': 'HR', 'OperationType': 'Read', 'DeviceType': 'Desktop', 'Browser': 'Firefox', 'IPAddress': '10.78.102.189', 'VPN_Used': False, 'ISP': 'CompanyISP', 'AccessChannel': 'InternalNetwork', 'TypingSpeed': 90.0, 'AvgKeyHoldTime': 180.0, 'AvgFlightTime': 105.57, 'PatternMatchScore': 0.96, 'KeystrokeDynamicStatus': 'Fail', 'Keystroke_Score': 0.2, 'LoginTimeDeviation': 0.66, 'LoginTimestamp': '2025-05-14 07:42:00', 'LogoutTimestamp': '2025-05-14 08:24:00', 'SessionDuration': 42, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.1, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Deny', 'SessionLocation': 'Sydney'}
2025-05-14 19:43:54,165 INFO: Emitted: {'UserID': 10141, 'MACAddress': 'E7:97:FB:4C:75:34', 'UserRole': 'HR', 'OperationType': 'Read', 'DeviceType': 'Mobile', 'Browser': 'Chrome', 'IPAddress': '10.6.154.179', 'VPN_Used': False, 'ISP': 'CompanyISP', 'AccessChannel': 'InternalNetwork', 'TypingSpeed': 69.34, 'AvgKeyHoldTime': 123.23, 'AvgFlightTime': 110.47, 'PatternMatchScore': 0.82, 'KeystrokeDynamicStatus': 'Pass', 'Keystroke_Score': 0, 'LoginTimeDeviation': 0.27, 'LoginTimestamp': '2025-05-14 08:54:00', 'LogoutTimestamp': '2025-05-14 10:07:00', 'SessionDuration': 73, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.0, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Allow', 'SessionLocation': 'Sydney'}
2025-05-14 19:44:07,145 INFO: Emitted: {'UserID': 10141, 'MACAddress': 'DC:71:A3:71:0F:3B', 'UserRole': 'Admin', 'OperationType': 'Read', 'DeviceType': 'Desktop', 'Browser': 'Firefox', 'IPAddress': '192.62.247.127', 'VPN_Used': False, 'ISP': 'BT', 'AccessChannel': 'ExternalNetwork', 'TypingSpeed': 62.82, 'AvgKeyHoldTime': 119.7, 'AvgFlightTime': 113.52, 'PatternMatchScore': 0.86, 'KeystrokeDynamicStatus': 'Pass', 'Keystroke_Score': 0, 'LoginTimeDeviation': 0.71, 'LoginTimestamp': '2025-05-14 15:43:04', 'LogoutTimestamp': '2025-05-14 16:18:04', 'SessionDuration': 35, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.0, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Allow', 'SessionLocation': 'New York'}
2025-05-14 19:44:20,381 INFO: Emitted: {'UserID': 10141, 'MACAddress': '5C:9A:69:D9:77:7A', 'UserRole': 'Finance', 'OperationType': 'Write', 'DeviceType': 'Mobile', 'Browser': 'Edge', 'IPAddress': '192.182.35.24', 'VPN_Used': False, 'ISP': 'BT', 'AccessChannel': 'ExternalNetwork', 'TypingSpeed': 56.9, 'AvgKeyHoldTime': 180.0, 'AvgFlightTime': 40.0, 'PatternMatchScore': 0.88, 'KeystrokeDynamicStatus': 'Fail', 'Keystroke_Score': 0.2, 'LoginTimeDeviation': 0.69, 'LoginTimestamp': '2025-05-13 20:21:17', 'LogoutTimestamp': '2025-05-13 21:45:17', 'SessionDuration': 84, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.1, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Deny', 'SessionLocation': 'Sydney'}
2025-05-14 19:44:33,433 INFO: Emitted: {'UserID': 10141, 'MACAddress': 'A4:41:4C:56:86:78', 'UserRole': 'Guest', 'OperationType': 'Read', 'DeviceType': 'Desktop', 'Browser': 'Safari', 'IPAddress': '192.130.51.117', 'VPN_Used': False, 'ISP': 'Verizon', 'AccessChannel': 'ExternalNetwork', 'TypingSpeed': 68.68, 'AvgKeyHoldTime': 98.34, 'AvgFlightTime': 40.0, 'PatternMatchScore': 0.9, 'KeystrokeDynamicStatus': 'Fail', 'Keystroke_Score': 0.2, 'LoginTimeDeviation': 0.63, 'LoginTimestamp': '2025-05-14 02:37:30', 'LogoutTimestamp': '2025-05-14 03:21:30', 'SessionDuration': 44, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.1, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Deny', 'SessionLocation': 'San Francisco'}
2025-05-14 19:44:46,479 INFO: Emitted: {'UserID': 10141, 'MACAddress': '45:16:25:2B:50:E0', 'UserRole': 'HR', 'OperationType': 'Write', 'DeviceType': 'Tablet', 'Browser': 'Edge', 'IPAddress': '192.73.102.50', 'VPN_Used': False, 'ISP': 'Jio', 'AccessChannel': 'ExternalNetwork', 'TypingSpeed': 53.56, 'AvgKeyHoldTime': 103.89, 'AvgFlightTime': 78.06, 'PatternMatchScore': 0.88, 'KeystrokeDynamicStatus': 'Pass', 'Keystroke_Score': 0, 'LoginTimeDeviation': 0.34, 'LoginTimestamp': '2025-05-14 11:32:43', 'LogoutTimestamp': '2025-05-14 12:11:43', 'SessionDuration': 39, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.0, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Allow', 'SessionLocation': 'Sydney'}
2025-05-14 19:44:59,296 INFO: Emitted: {'UserID': 10141, 'MACAddress': 'D4:20:53:43:7D:B9', 'UserRole': 'Finance', 'OperationType': 'Read', 'DeviceType': 'Tablet', 'Browser': 'Chrome', 'IPAddress': '100.1.102.209', 'VPN_Used': True, 'ISP': 'Comcast', 'AccessChannel': 'ExternalNetwork', 'TypingSpeed': 48.25, 'AvgKeyHoldTime': 142.57, 'AvgFlightTime': 117.29, 'PatternMatchScore': 0.87, 'KeystrokeDynamicStatus': 'Pass', 'Keystroke_Score': 0, 'LoginTimeDeviation': 0.88, 'LoginTimestamp': '2025-05-14 19:24:56', 'LogoutTimestamp': '2025-05-14 19:58:56', 'SessionDuration': 34, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.0, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Allow', 'SessionLocation': 'Sydney'}
2025-05-14 19:45:11,374 INFO: Emitted: {'UserID': 10141, 'MACAddress': 'E7:97:FB:4C:75:34', 'UserRole': 'Developer', 'OperationType': 'Read', 'DeviceType': 'Desktop', 'Browser': 'Chrome', 'IPAddress': '10.177.134.190', 'VPN_Used': False, 'ISP': 'CompanyISP', 'AccessChannel': 'InternalNetwork', 'TypingSpeed': 63.97, 'AvgKeyHoldTime': 133.4, 'AvgFlightTime': 58.24, 'PatternMatchScore': 0.94, 'KeystrokeDynamicStatus': 'Pass', 'Keystroke_Score': 0, 'LoginTimeDeviation': 0.52, 'LoginTimestamp': '2025-05-14 07:28:00', 'LogoutTimestamp': '2025-05-14 07:43:00', 'SessionDuration': 15, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.0, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Allow', 'SessionLocation': 'Sydney'}
2025-05-14 19:45:23,455 INFO: Emitted: {'UserID': 10141, 'MACAddress': 'E7:97:FB:4C:75:34', 'UserRole': 'Guest', 'OperationType': 'Read', 'DeviceType': 'Laptop', 'Browser': 'Chrome', 'IPAddress': '10.11.202.207', 'VPN_Used': False, 'ISP': 'CompanyISP', 'AccessChannel': 'InternalNetwork', 'TypingSpeed': 36.0, 'AvgKeyHoldTime': 147.02, 'AvgFlightTime': 107.22, 'PatternMatchScore': 0.96, 'KeystrokeDynamicStatus': 'Fail', 'Keystroke_Score': 0.2, 'LoginTimeDeviation': 0.19, 'LoginTimestamp': '2025-05-14 09:17:00', 'LogoutTimestamp': '2025-05-14 10:44:00', 'SessionDuration': 87, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.1, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Deny', 'SessionLocation': 'Sydney'}
2025-05-14 19:45:35,586 INFO: Emitted: {'UserID': 10141, 'MACAddress': 'F0:18:98:18:F3:F7', 'UserRole': 'Guest', 'OperationType': 'Read', 'DeviceType': 'Desktop', 'Browser': 'Safari', 'IPAddress': '10.143.137.218', 'VPN_Used': False, 'ISP': 'CompanyISP', 'AccessChannel': 'InternalNetwork', 'TypingSpeed': 57.16, 'AvgKeyHoldTime': 180.0, 'AvgFlightTime': 55.86, 'PatternMatchScore': 0.98, 'KeystrokeDynamicStatus': 'Fail', 'Keystroke_Score': 0.2, 'LoginTimeDeviation': 0.87, 'LoginTimestamp': '2025-05-14 09:56:00', 'LogoutTimestamp': '2025-05-14 10:27:00', 'SessionDuration': 31, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.1, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Deny', 'SessionLocation': 'Sydney'}
2025-05-14 19:45:47,761 INFO: Emitted: {'UserID': 10141, 'MACAddress': 'E7:97:FB:4C:75:34', 'UserRole': 'Developer', 'OperationType': 'Read', 'DeviceType': 'Mobile', 'Browser': 'Firefox', 'IPAddress': '10.195.235.18', 'VPN_Used': False, 'ISP': 'CompanyISP', 'AccessChannel': 'InternalNetwork', 'TypingSpeed': 45.88, 'AvgKeyHoldTime': 148.93, 'AvgFlightTime': 113.44, 'PatternMatchScore': 0.99, 'KeystrokeDynamicStatus': 'Pass', 'Keystroke_Score': 0, 'LoginTimeDeviation': 0.61, 'LoginTimestamp': '2025-05-14 09:26:00', 'LogoutTimestamp': '2025-05-14 09:57:00', 'SessionDuration': 31, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.0, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Allow', 'SessionLocation': 'Sydney'}
2025-05-14 19:45:59,926 INFO: Emitted: {'UserID': 10141, 'MACAddress': 'E7:97:FB:4C:75:34', 'UserRole': 'Admin', 'OperationType': 'Delete', 'DeviceType': 'Desktop', 'Browser': 'Safari', 'IPAddress': '10.174.206.3', 'VPN_Used': False, 'ISP': 'CompanyISP', 'AccessChannel': 'InternalNetwork', 'TypingSpeed': 36.0, 'AvgKeyHoldTime': 102.02, 'AvgFlightTime': 110.94, 'PatternMatchScore': 0.97, 'KeystrokeDynamicStatus': 'Fail', 'Keystroke_Score': 0.2, 'LoginTimeDeviation': 0.03, 'LoginTimestamp': '2025-05-14 07:33:00', 'LogoutTimestamp': '2025-05-14 09:32:00', 'SessionDuration': 119, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.1, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Deny', 'SessionLocation': 'Sydney'}
